-0.00292962,-0.0680291,0.963894,128,157,174
-0.00274538,-0.0680136,0.963873,126,154,171
-0.0024135,-0.0679542,0.963182,124,149,164
0.000665847,-0.0684763,0.971936,104,111,111
0.00137151,-0.0683399,0.97158,141,140,137
-0.00292466,-0.0678118,0.963541,130,162,181
-0.00263675,-0.0679118,0.963178,126,154,170
-0.00256688,-0.0678966,0.963273,125,153,168
-0.00216735,-0.0677665,0.962559,122,147,161
-0.00215669,-0.0677782,0.962582,122,146,161
0.000586188,-0.068326,0.971921,98,109,111
0.000812168,-0.0683084,0.971955,110,115,114
0.00104104,-0.0683085,0.971878,130,130,128
0.00128074,-0.0682972,0.97193,140,139,136
-0.0030861,-0.0676487,0.963383,133,166,187
-0.0030903,-0.0676523,0.963435,133,166,187
-0.00285983,-0.0676532,0.963376,131,164,183
-0.00263495,-0.0677268,0.963034,128,158,176
-0.00264038,-0.0676877,0.962863,128,158,177
-0.00274548,-0.0677718,0.963425,129,159,178
-0.0024113,-0.0676529,0.962634,126,153,170
-0.00209446,-0.0676068,0.962765,123,149,165
0.000822183,-0.0681041,0.972026,105,111,112
0.0010027,-0.0680959,0.971945,117,121,119
0.0012005,-0.0680839,0.971788,133,133,131
-0.0030426,-0.0675278,0.963471,135,168,189
-0.00257868,-0.0675215,0.962977,131,161,181
-0.00259956,-0.067554,0.962983,130,161,180
-0.00259604,-0.0675551,0.963003,130,161,180
-0.00233964,-0.0674871,0.962822,128,157,175
-0.00231505,-0.0674541,0.962562,128,157,175
-0.00182777,-0.0675533,0.962809,120,145,159
0.00117419,-0.0678564,0.971385,123,126,124
0.00175652,-0.0678773,0.971967,140,140,137
-0.00552849,-0.0670824,0.9565,143,179,204
-0.00555737,-0.0670407,0.95698,142,178,203
-0.00276625,-0.0674018,0.963272,134,166,187
-0.00182782,-0.0673763,0.962674,122,148,163
-0.0018394,-0.0673623,0.962721,122,149,164
0.00127242,-0.0676763,0.97133,122,125,124
0.00148276,-0.0677228,0.971363,135,135,133
0.00194506,-0.0676883,0.970889,141,140,137
-0.00540032,-0.0669613,0.956663,141,176,199
-0.00536707,-0.0667261,0.954609,140,175,196
-0.00541507,-0.0668188,0.954091,143,177,201
0.00150375,-0.0675647,0.971345,131,132,130
0.00169996,-0.0676021,0.971193,139,139,136
0.00201525,-0.0675024,0.970678,141,140,137
-0.00589227,-0.0664504,0.95262,140,173,193
-0.0057697,-0.066553,0.953274,141,174,195
-0.00543429,-0.0665311,0.954237,138,171,191
-0.00559018,-0.0665369,0.953666,139,173,193
0.0013996,-0.0673102,0.970963,114,119,119
0.00159852,-0.0673464,0.970785,129,130,128
0.00174847,-0.0674033,0.970992,137,137,134
0.00180779,-0.0672392,0.970264,135,135,133
0.00207486,-0.0673094,0.970476,140,139,136
0.00207053,-0.0673062,0.970445,140,139,136
-0.0056381,-0.066333,0.953471,137,170,189
-0.00519828,-0.0664012,0.954806,137,169,189
0.00145101,-0.0671105,0.970742,111,118,118
0.00164623,-0.0671576,0.970567,126,127,126
-0.00578138,-0.0662626,0.952655,137,168,188
-0.00551517,-0.0663198,0.95391,136,169,188
-0.00531579,-0.0662684,0.954107,136,169,188
-0.00512676,-0.0661992,0.954325,136,167,187
0.00149789,-0.0669222,0.970649,110,117,118
0.00170113,-0.0669636,0.970391,122,125,124
-0.00665647,-0.066132,0.959293,140,173,194
-0.00499484,-0.06595,0.954276,135,167,188
-0.00464335,-0.066154,0.959521,135,167,188
-0.00479687,-0.065975,0.954487,134,167,187
-0.00459973,-0.0660015,0.954691,133,165,186
-0.00471249,-0.0658809,0.954483,134,167,188
-0.00667352,-0.0660907,0.959721,140,174,196
-0.00656946,-0.0659792,0.958594,140,174,196
-0.00666085,-0.0659271,0.958675,141,175,197
